Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Ptilotus aristatus subsp. micranthus,Ptilotus,,aristatus,NA,subsp.,micranthus,,kew-2408393,FALSE,1.1,Unresolved,Amaranthaceae,Ptilotus,,aristatus,,,Benl,kew-2408393,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus aristatus subsp. aristatus,Ptilotus,,aristatus,NA,subsp.,aristatus,,kew-2408393,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,aristatus,,,Benl,kew-2408393,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus appendiculatus,Ptilotus,,appendiculatus,NA,NA,,,kew-2408395,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,appendiculatus,,,Benl,kew-2408395,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus aphyllus,Ptilotus,,aphyllus,NA,NA,,,kew-2408396,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,aphyllus,,,Benl,kew-2408396,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus alexandri,Ptilotus,,alexandri,NA,NA,,,kew-2408399,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,alexandri,,,Benl,kew-2408399,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus polystachyus f. rubriflorus,Ptilotus,,polystachyus,NA,f.,rubriflorus,,tro-50004337,FALSE,1.1,Accepted,Amaranthaceae,Ptilotus,,polystachyus,,,(Gaudich.) F. Muell.,tro-50004337,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ptilotus polystachyus f. polystachyus,Ptilotus,,polystachyus,NA,f.,polystachyus,,tro-50004337,TRUE,1.1,Accepted,Amaranthaceae,Ptilotus,,polystachyus,,,(Gaudich.) F. Muell.,tro-50004337,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ptilotus nobilis subsp. nobilis,Ptilotus,,nobilis,NA,subsp.,nobilis,,kew-2408050,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,nobilis,,,F.Muell.,kew-2408050,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus maconochiei,Ptilotus,,maconochiei,NA,NA,,,kew-2408058,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,maconochiei,,,Benl,kew-2408058,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus latifolius,Ptilotus,,latifolius,NA,NA,,,kew-2408169,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,latifolius,,,R.Br.,kew-2408169,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus exaltatus var. villosus,Ptilotus,,exaltatus,NA,var.,villosus,,kew-2408352,FALSE,1.1,Unresolved,Amaranthaceae,Ptilotus,,exaltatus,,,Nees,kew-2408352,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus exaltatus var. exaltatus,Ptilotus,,exaltatus,NA,var.,exaltatus,,kew-2408352,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,exaltatus,,,Nees,kew-2408352,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus obovatus var. obovatus,Ptilotus,,obovatus,NA,var.,obovatus,,tro-50195293,TRUE,1.1,Accepted,Amaranthaceae,Ptilotus,,obovatus,,,(Gaudich.) F. Muell.,tro-50195293,Accepted,FALSE,FALSE,TRUE,2020-01-06
Gomphrena leptoclada subsp. leptoclada,Gomphrena,,leptoclada,NA,subsp.,leptoclada,,kew-2829271,TRUE,1.1,Accepted,Amaranthaceae,Gomphrena,,leptoclada,,,Benth.,kew-2829271,Accepted,FALSE,FALSE,TRUE,2020-01-06
Gomphrena canescens subsp. canescens,Gomphrena,,canescens,NA,subsp.,canescens,,kew-2829066,TRUE,1.1,Accepted,Amaranthaceae,Gomphrena,,canescens,,,R.Br.,kew-2829066,Accepted,FALSE,FALSE,TRUE,2020-01-06
Iresine lindeni,Iresine,,lindeni,NA,NA,,,tro-1100463,TRUE,1.1,Accepted,Amaranthaceae,Iresine,,lindenii,,,Van Houtte,tro-1100463,Accepted,TRUE,FALSE,FALSE,2020-01-06
