TaxonID,Species
100806,Helictotrichon_sedenense_subsp._sedenense
100807,Helictotrichon_setaceum
100808,Helictotrichon_setaceum_subsp._setaceum
100810,Lagurus_ovatus
100812,Pseudarrhenatherum_longifolium
100813,Trisetum_spicatum
100817,Secale_strictum_subsp._kuprijanovii
1008366,Bellevalia_dubia_subsp._boissieri
1008367,Bellevalia_webbiana
1008368,Bellevalia_ciliata
1008369,Bellevalia_pelagica
1008370,Amomum_subulatum
1008377,Ivesia_rhypara
1008439,Lomatium_foeniculaceum_subsp._fimbriatum
1008441,Lomatium_nevadense
1008442,Lomatium_packardiae
1008443,Lomatium_ravenii
1008445,Himatanthus_drasticus
1008446,Euphorbia_dracunculoides
1008450,Lomatium_bentonitum
1008897,Acer_elegantulum
1008898,Acer_olivaceum
1008900,Cinnamomum_chekiangense
1008902,Quercus_ciliaris
1008903,Daphniphyllum_oldhamii
1008904,Diospyros_morrisiana
1008905,Elaeocarpus_chinensis
1008906,Elaeocarpus_decipiens
1008907,Elaeocarpus_japonicus
1008908,Euonymus_carnosus
1008909,Euonymus_centidens
1008910,Euonymus_myrianthus
1008911,Euonymus_nitidus
1008916,Ilex_elmerrilliana
1008917,Ilex_suaveolens
1008918,Itea_omeiensis
1008919,Lasianthus_japonicus
1008923,Machilus_chrysotricha
1008924,Malus_leiocalyca
1008926,Meliosma_flexuosa
1008927,Meliosma_oldhamii
1008928,Pittosporum_illicioides
1008929,Prunus_discoidea
1008931,Aidia_cochinchinensis
1008932,Reevesia_pycnantha
1008933,Rhus_hypoleuca
1008934,Sloanea_sinensis
1008935,Micromeles_folgneri
1008937,Tarenna_mollissima
1008938,Tilia_endochrysea
1008939,Viburnum_sempervirens
1008942,Wikstroemia_monnula
1008951,Trailliaedoxa_gracilis
1008955,Atractocarpus_balansaeanus
1008956,Bertiera_longithyrsa
1008957,Bremeria_landia
1008959,Coptosperma_supra-axillare
1008960,Feretia_apodanthera
1008961,Kailarsenia_tentaculata
1008962,Pavetta_indica
1008963,Schizomussaenda_henryi
1008965,Wendlandia_arabica
1008966,Wendlandia_formosana
1008967,Wendlandia_paniculata
1008968,Poa_clivicola
1008969,Poa_gunnii
1008978,Citrus_suhuiensis
1008979,Citrus_genshokan
1008980,Citrus_tankan
1008981,Citrus_yatsushiro
1008982,Citrus_tarogayo
1008983,Citrus_keraji
1008984,Citrus_oto
1009002,Ardisia_paniculata
1009329,Aidia_canthioides
1009330,Archidendron_turgidum
1009331,Antidesma_fordii
1009332,Aporosa_yunnanensis
1009333,Archidendron_lucidum
1009334,Artocarpus_styracifolius
1009335,Blastus_cochinchinensis
1009336,Calophyllum_membranaceum
1009337,Canthium_horridum
1009338,Caryota_maxima
1009339,Casearia_glomerata
1009340,Casearia_velutina
1009341,Chrysophyllum_lanceolatum
1009343,Craibiodendron_scleranthum
100935,Altingia_obovata
100939,Guaduella_marantifolia
100940,Puelia_schumanniana
100941,Stipa_barbata
1009467,Diospyros_eriantha
1009468,Elaeocarpus_nitentifolius
1009469,Euonymus_laxiflorus
1009470,Eustigma_balansae
1009471,Ficus_pandurata
1009473,Ficus_variolosa
1009474,Garcinia_multiflora
1009475,Garcinia_oblongifolia
1009476,Glochidion_wrightii
1009477,Helicia_cochinchinensis
1009478,Helicia_reticulata
1009479,Homalium_cochinchinense
1009480,Ilex_chapaensis
1009481,Ilex_cochinchinensis
1009482,Ilex_memecylifolia
1009483,Itea_chinensis
1009484,Lasianthus_curtisii
1009485,Litsea_rotundifolia
1009487,Litsea_verticillata
1009488,Macaranga_andamanica
1009489,Maesa_salicifolia
1009490,Mallotus_hookerianus
1009491,Meliosma_fordii
1009492,Memecylon_ligustrifolium
1009493,Memecylon_nigrescens
1009494,Microdesmis_caseariifolia
1009495,Nauclea_officinalis
1009496,Neolitsea_umbrosa
1009497,Nephelium_chryseum
1009498,Ormosia_fordiana
1009499,Ormosia_glaberrima
1009500,Ormosia_semicastrata_f._pallida
1009501,Pterospermum_lanceifolium
1009502,Rhododendron_mariae
1009504,Schoepfia_chinensis
1009505,Syzygium_championii
1009506,Syzygium_hancei
1009507,Syzygium_levinei
1009508,Syzygium_rehderianum
1009509,Wikstroemia_nutans
1009510,Zanthoxylum_myriacanthum
1009515,Henriquezia_nitida
1009517,Airosperma_psychotrioides
1009518,Airosperma_trichotomum
1009554,Cipoia_ramosa
1009557,Loudetia_lanata
1009558,Tristachya_hubbardiana
1009559,Tovomitopsis_paniculata
1009564,Oxytropis_parryi
1009566,Anthodon_decussatum
1009568,Apodostigma_pallens
1009569,Campylostemon_bequaertii
1009570,Cuervea_isangiensis
1009572,Elachyptera_floribunda
1009573,Elachyptera_holtzii
1009574,Elachyptera_minimiflora
1009576,Helictonema_velutinum
1009577,Hylenaea_comosa
1009578,Loeseneriella_rowlandii
1009579,Loeseneriella_urceolus
1009580,Prionostemma_fimbriata
1009581,Pristimera_andongensis
1009582,Pristimera_malifolia
1009583,Pristimera_nervosa
1009584,Pristimera_tenuiflora
1009585,Pristimera_verrucosa
1009586,Reissantia_angustipetala
1009587,Reissantia_buchananii
1009588,Reissantia_parviflora
1009589,Salacia_chinensis
1009590,Salacia_grandifolia
1009591,Salacia_krigsneri
1009681,Tristemonanthus_nigrisilvae
101007,Fragaria_chiloensis
101008,Fragaria_chiloensis_subsp._pacifica
101009,Fragaria_chiloensis_subsp._lucida
101010,Fragaria_daltoniana
101011,Fragaria_gracilis
101012,Fragaria_nipponica
101013,Fragaria_orientalis
101014,Fragaria_pentaphylla
101015,Fragaria_virginiana
101016,Fragaria_virginiana_subsp._glauca
101017,Fragaria_virginiana_subsp._platypetala
101018,Fragaria_virginiana_subsp._virginiana
101019,Fragaria_vesca_subsp._americana
101020,Fragaria_vesca_subsp._vesca
101022,Fragaria_vesca_f._alba
1010620,Magnolia_mediocris
1010621,Magnolia_scortechinii
1010622,Magnolia_sirindhorniae
1010625,Magnolia_pahangensis
1010626,Magnolia_thailandica
1010628,Magnolia_garrettii
1010630,Magnolia_villosa
1010632,Astrocaryum_scopatum
1010633,Digitaria_exilis
101193,Corylus_colurna
101269,Lilium_hybrid_division_VII
101471,Magnolia_dodecapetala
101473,Wollastonia_biflora
101569,Simarouba_amara
101591,Cosmos_atrosanguineus
101592,Dahlia_apiculata
101593,Dahlia_australis
101594,Dahlia_dissecta
101595,Dahlia_imperialis
101596,Dahlia_pinnata
101597,Dahlia_rudis
101598,Dahlia_scapigeroides
101599,Dahlia_sherffii
101600,Dahlia_sorensenii
101601,Dahlia_tenuicaulis
101605,Abolboda_americana
101606,Xyris_difformis
101607,Aponogeton_crispus
101608,Burmannia_biflora
101609,Croomia_pauciflora
101611,Cyclanthus_bipartitus
101613,Dimerocostus_strobilaceus
101614,Marantochloa_atropurpurea
101617,Musella_lasiocarpa
101618,Oncidium_ornithoglossum
101619,Orchidantha_siamensis
101621,Maianthemum_racemosum_subsp._racemosum
101622,Yucca_brevifolia
101624,Chambeyronia_macrocarpa
101625,Metroxylon_vitiense
101627,Iriartea_deltoidea
101629,Podococcus_barteri
101651,Legenere_limosa
101652,Lilium_rosthornii
101653,Lilium_fargesii
101677,Mendoncia_phytocrenoides
101678,Hypoestes_phyllostachya
101679,Lepidagathis_alopecuroidea
1016831,Cordyline_australis
101691,Costus_malortieanus
101692,Cryptanthus_zonatus
101694,Cymbocarpa_refracta
101696,Dasypogon_bromeliifolius
101708,Eustrephus_latifolius
101709,Heliconia_irrasa
101710,Helmholtzia_acorifolia
1017129,Viola_arguta
101712,Pandanus_utilis
1017130,Viola_chelmea
1017131,Viola_epipsila_subsp._epipsila
1017132,Viola_epipsila_subsp._repens
1017133,Viola_glabella
